Order_ID,Product,Category,Price,Quantity,Region,Date,Total
1001,Laptop,Electronics,50000.0,2,Hyderabad,2026-01-10,100000.0
1002,Mobile,Electronics,20000.0,3,Vizag,2026-01-12,60000.0
1003,Shoes,Fashion,3000.0,5,Warangal,2026-02-10,15000.0
1004,Watch,Accessories,2500.0,4,Hyderabad,2026-02-15,10000.0
1005,Headphones,Electronics,1500.0,6,Vijayawada,2026-03-10,9000.0
1006,Laptop,Electronics,50000.0,1,Guntur,2026-03-18,50000.0
1007,Shoes,Fashion,3000.0,3,Vizag,2026-04-02,9000.0
1008,Mobile,Electronics,20000.0,2,Hyderabad,2026-04-11,40000.0
1009,Watch,Accessories,2500.0,5,Warangal,2026-05-05,12500.0
1010,Headphones,Electronics,1500.0,8,Guntur,2026-05-15,12000.0
1011,Keyboard,Electronics,1200.0,10,Hyderabad,2026-06-05,12000.0
1012,Mouse,Electronics,800.0,12,Vijayawada,2026-06-12,9600.0
1013,T-Shirt,Fashion,900.0,15,Vizag,2026-07-08,13500.0
1014,Jeans,Fashion,1800.0,7,Warangal,2026-07-15,12600.0
1015,Bag,Accessories,2200.0,6,Hyderabad,2026-08-01,13200.0
1016,ear buds,electronics,3000.0,5,hyderabad,21-07-2026,15000.0
108,earphone wire,electronic,3000.0,4,hyderabad,12-03-26,12000.0
